# git-archive index, _R1, Runway (TP). One line per retired ref: repo | scope | ref | full sha | verdict | action | file
_R1 | loose commit, TP checkout | (dangling) | 0d62f460aa2eab6ed2a28d40e088badb0295af37 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 0d62f46.patch  # fix(runway): worktree-clean disposes fossils by content, not
_R1 | loose commit, TP checkout | (dangling) | 9ad4359107e8e71bd2ad971840fa224ae8c6d2db | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 9ad4359.patch  # docs(runway): git hooks SOP reference with measured before
_R1 | loose commit, TP checkout | (dangling) | 9fe1a217980a5cfe7d33af3d43d1fab3d564c7e6 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 9fe1a21.patch  # fix(runway): empty-listing canary fires on
_R1 | loose commit, TP checkout | (dangling) | ac21046b84a3a4d7e772045e6eb75dfcab47ee4b | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | ac21046.patch  # chore(runway): track sole-copy docs, ignore DI-TP scripts,
_R1 | loose commit, TP checkout | (dangling) | b389505bdfd143ffdf0572043b87f0ab4d0d3635 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | b389505.patch  # docs(plans): git SOP gate coverage plan, three options per
_R1 | loose commit, TP checkout | (dangling) | b550b91cea15ba8dc60691af31101e7da59fef74 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | b550b91.patch  # fix(runway): empty-listing canary fires on
_R1 | loose commit, TP checkout | (dangling) | c369742b71ad1ada1ac2fa7cf480421af80264cb | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | c369742.patch  # docs(claude): reword dispatch exception 2 for the 1M window
_R1 | loose commit, TP checkout | (dangling) | c40040751b7fe09475c76dbb078288aaabaca1ac | NO-VALUE, certifier probe or stash | patched then gc --prune=now 2026-09-11/12 | c400407.patch  # opeff#996 git-hygiene-certify: clause 1 throwaway probe,
_R1 | loose commit, TP checkout | (dangling) | c6491899d53fca75f7e882287c42ae805acfd9ca | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | c649189.patch  # fix(runway): empty-listing canary fires on
_R1 | loose commit, TP checkout | (dangling) | cf92dcae6b20963e4182da5a7aa1597e1bc51aeb | NO-VALUE, superseded docs draft | patched then gc --prune=now 2026-09-11/12 | cf92dca.patch  # docs(runway): replan the epic to one-shot-feature-planning-v1
_R1 | loose commit, TP checkout | (dangling) | df1d76e4c06cb9d0e994f3297097349f98b0aecc | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | df1d76e.patch  # docs(claude): reword dispatch exception 2 for the 1M window
_R1 | loose commit, TP checkout | (dangling) | eb92ce01de1c46dd510e02f612e793c2c9c49965 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | eb92ce0.patch  # parity: drop op allowlist in assertToolNeverPlansField, guard
_R1 | fork branch | chore/166-repo-hygiene | ac21046 (tree == squash 95ee132) | ALREADY-IN-MAIN, PR 164 | git push origin --delete 2026-09-11 | restore: gh pr view 164 --json headRefOid
_R1 | fork branch | feat/151-parity-harness | PR 163 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/auto-promote-clock-fix | PR 167 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/control12-env-isolation | PR 168 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/gitdir-scrub | PR 169 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/hygiene-guard | PR 165 (tip 2af6c7e0d629cdcf5b957f21c6cb803a24002acc, files identical at squash 70e238f) head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/hygiene-guard-trunk-config | PR 166 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | docs/claude-fleet-model-tier-and-exception-2 | PR 170 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | docs/git-hooks-sop-reference | PR 171 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | docs/git-sop-gate-coverage-plan | PR 172 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/empty-listing-canary | PR 173 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | fork branch | runway-cc/worktree-clean-content | PR 174 head sha | ALREADY-IN-MAIN, PR merged | git push origin --delete 2026-09-11/12 | restore: gh pr view N --repo Hunt-Gather-Create/_R1 --json headRefOid
_R1 | worktree, TP checkout | .worktrees/chore-166-repo-hygiene | ac21046 | ALREADY-IN-MAIN | git worktree remove --force 2026-09-11 | none needed
_R1 | worktree, TP checkout | .worktrees/runway-cc-empty-listing-canary | 9fe1a217980a5cfe7d33af3d43d1fab3d564c7e6 | ALREADY-IN-MAIN, PR 173 | git worktree remove --force 2026-09-12 | none needed
_R1 | worktree, TP checkout | .worktrees/data-tp-runway | d53b6dc detached, 2 tracked diffs + 26 untracked | IMPROVES-MAIN (config, PR 175) + gitignored DI-TP scripts | worktree removed 2026-09-12; scripts in checkout ignored path, docs/tmp/data-tp, Drive 1XhqUuRJygk068kY63c0_RAR_9__9iNrA | di-tp-worktree-tracked-diff-2026-09-12.patch
_R1 | untracked dupes, TP checkout | 3 docs byte-identical to trunk after PR 164 | n/a | ALREADY-IN-MAIN | moved out 2026-09-11 | untracked-dupes-2026-09-11/
_R1 | CC bot clone ~/.buzz/REPOS/_R1 | control12-env-isolation, gitdir-scrub, hygiene-guard, trunk-canary (superseded draft), worktree-clean-content, runway-upstream | PR heads 0e4b475 0ee3292 2af6c7e, 6c7aabf, 0d62f46, 6c7aabf | ALREADY-IN-MAIN or NO-VALUE | removed by Runway (CC) 2026-09-11 21:53Z and 2026-09-12 03:18Z, 133 dangling gc'd | none needed
